feature	Bifidobacterium.adolescentis.rpoB.mutants.conferring.resistance.to.rifampicin	tet.Q.	CfxA6	tet.40.	tet.O.	Mef.En2.
bc351	17.0331554278799	19.5107550104839	16.4237612392037	14.9184115810906	11.7445282899126	14.469100548041
ac351	17.1898587249683	19.521896038962	12.4505382365134	14.1789311140584	12.7445282899126	15.9928335216568
bc352	17.2179454458053	19.5941036034431	14.7881219789258	14.7643655893742	11.7445282899126	14.469100548041
ac352	17.8305427710912	19.3653202093414	12.4505382365134	13.6041731893986	11.7445282899126	16.2710993206268
bc353	15.3756035141105	19.6278722529547	13.8886719938085	15.7964603020589	11.7445282899126	16.8453204907668
ac353	16.6716025664834	19.253698192809	12.4505382365134	15.9543701663879	12.9793989608794	17.4630437828318
bc354	15.3756035141105	19.7360304031625	13.4505382365134	14.6421195107643	11.7445282899126	16.4574599399528
ac354	17.4953799679665	19.4923600541851	12.4505382365134	14.5297734561758	11.7445282899126	15.7216361490381
bc355	15.3756035141105	19.7633305830832	14.3173531847477	13.4045977991839	11.7445282899126	16.2661278613925
ac355	16.3756035141105	19.3265272597978	12.4505382365134	11.6439123328961	11.7445282899126	17.572400516022
bc356	15.3756035141105	19.8548939009517	12.4505382365134	12.6439123328961	11.7445282899126	15.469100548041
ac356	17.9612002763298	19.3584072036373	12.4505382365134	11.6439123328961	11.7445282899126	16.149068472774
