feature	lincosamide.antibiotic	macrolide.antibiotic	rifamycin.antibiotic	tetracycline.antibiotic	cephalosporin	glycopeptide.antibiotic	mupirocin.like.antibiotic
amd782	22076.8557643332	22076.8557643332	455889.718295399	275921.213608046	11493.001835356	6749.70362025571	227869.506876611
amd783	19374.0627867168	19374.0627867168	377826.868086196	432817.855713978	18731.0563738821	11000.5271755087	140249.629863719
amd784	85538.8243767042	85538.8243767042	337067.581013994	467140.951599112	28679.4056709217	0	81573.2373392686
amd785	103857.569860522	103857.569860522	173247.361019731	636796.051770642	8972.86548117985	0	77126.1518679248
amd786	69611.7902811672	69611.7902811672	192460.57933936	675648.174470141	5567.66476904469	0	56711.7911402873
amd787	37525.9038676124	37525.9038676124	252611.557770546	585331.816123793	5152.87627401851	0	119377.84596403
bmd782	20214.2848711967	20214.2848711967	0	930415.103316242	49370.6118125605	0	0
bmd783	22754.7589793574	22754.7589793574	0	940485.449889256	36759.7911313871	0	0
bmd784	0	0	745672.726388018	183169.563677207	0	0	71157.7099347751
bmd785	8129.58674358031	8129.58674358031	0	964186.017863499	27684.395392921	0	0
bmd786	0	0	810567.676246328	92775.9503187893	0	0	96656.3734348822
bmd787	0	0	829741.091520389	170258.908479611	0	0	0
